time (seconds),encoderLeft (meters),encoderRight (meters)
150.296,21.15227699279785,21.81651496887207
150.401,21.25775146484375,21.90705680847168
150.501,21.361698150634766,21.99529457092285
150.6,21.464555740356445,22.08187484741211
150.695,21.56574821472168,22.16588020324707
150.801,21.66567611694336,22.247941970825195
150.9,21.76474380493164,22.328739166259766
151.001,21.86350440979004,22.409162521362305
151.1,21.962228775024414,22.489700317382812
151.2,22.061279296875,22.570999145507812
151.301,22.160921096801758,22.653486251831055
151.401,22.261505126953125,22.73772621154785
151.502,22.363140106201172,22.82382583618164
151.6,22.46649742126465,22.912841796875
151.699,22.571210861206055,23.004070281982422
151.796,22.678009033203125,23.098583221435547
151.899,22.786163330078125,23.19518280029297
152,22.896631240844727,23.29525375366211
152.101,23.008745193481445,23.397743225097656
152.201,23.122377395629883,23.50244903564453
152.301,23.237218856811523,23.60890769958496
152.402,23.35396957397461,23.71813201904297
152.501,23.472171783447266,23.829492568969727
152.599,23.59166145324707,23.942819595336914
152.701,23.711944580078125,24.05744743347168
152.801,23.83268928527832,24.17296028137207
152.9,23.953641891479492,24.28915786743164
152.993,24.074556350708008,24.405485153198242
153.1,24.1953067779541,24.52187728881836
153.201,24.31503677368164,24.637758255004883
153.301,24.433427810668945,24.75263214111328
153.401,24.549758911132812,24.865772247314453
153.497,24.663501739501953,24.976598739624023
153.603,24.77631950378418,25.086580276489258
153.701,24.88717269897461,25.194740295410156
153.8,24.993724822998047,25.298845291137695
153.898,25.09670639038086,25.3995304107666
154.002,25.195938110351562,25.496593475341797
154.101,25.289791107177734,25.58841323852539
154.201,25.379528045654297,25.67619514465332
154.299,25.463972091674805,25.75874900817871
154.395,25.543209075927734,25.836130142211914
154.499,25.61878204345703,25.909852981567383
154.6,25.687633514404297,25.9768123626709
154.701,25.749879837036133,26.037052154541016
154.801,25.806177139282227,26.09115219116211
154.899,25.85549545288086,26.137880325317383
155.001,25.902158737182617,26.181737899780273
155.101,25.902585983276367,26.182098388671875
155.196,25.902585983276367,26.182098388671875
155.299,25.902585983276367,26.182098388671875
155.399,25.902584075927734,26.182098388671875
155.501,25.902584075927734,26.182096481323242
155.599,25.902584075927734,26.182096481323242
155.701,25.902584075927734,26.182096481323242
155.8,25.902584075927734,26.182096481323242
155.9,25.902584075927734,26.182096481323242
156.002,25.902584075927734,26.182096481323242
156.101,25.902584075927734,26.18209457397461
156.201,25.902584075927734,26.18209457397461
156.301,25.902584075927734,26.18209457397461
156.398,25.902584075927734,26.18209457397461
156.499,25.9025821685791,26.18209457397461
156.601,25.9025821685791,26.18209457397461
156.7,25.9025821685791,26.18209457397461
156.801,25.9025821685791,26.18209457397461
156.901,25.9025821685791,26.18209457397461
156.999,25.9025821685791,26.182092666625977
157.1,25.9025821685791,26.182092666625977
157.199,25.90258026123047,26.182092666625977
157.301,25.90258026123047,26.182092666625977
157.401,25.90258026123047,26.182090759277344
157.501,25.90258026123047,26.182090759277344
157.598,25.902578353881836,26.182090759277344
157.7,25.902578353881836,26.182090759277344
157.801,25.902578353881836,26.18208885192871
157.902,25.902578353881836,26.18208885192871
158.001,25.902576446533203,26.18208885192871
158.102,25.902576446533203,26.182086944580078
158.201,25.902576446533203,26.182086944580078
158.301,25.902576446533203,26.182086944580078
158.401,25.90257453918457,26.182086944580078
158.499,25.90257453918457,26.182085037231445
158.6,25.90257453918457,26.182085037231445
158.701,25.90257453918457,26.182085037231445
158.8,25.902572631835938,26.182083129882812
158.901,25.902572631835938,26.182083129882812
159,25.902572631835938,26.182083129882812
159.101,25.902572631835938,26.182083129882812
159.2,25.902570724487305,26.18208122253418
159.301,25.902570724487305,26.18208122253418
159.401,25.902570724487305,26.18208122253418
159.5,25.902568817138672,26.182079315185547
159.6,25.902568817138672,26.182079315185547
159.697,25.902568817138672,26.182079315185547
159.802,25.902568817138672,26.182079315185547
159.899,25.90256690979004,26.182077407836914
160.001,25.90256690979004,26.182077407836914
160.095,25.90256690979004,26.182077407836914
160.201,25.90256690979004,26.182077407836914
160.299,25.902565002441406,26.18207550048828
160.401,25.902565002441406,26.18207550048828
160.499,25.902565002441406,26.18207550048828
160.6,25.902565002441406,26.18207359313965
160.701,25.902563095092773,26.18207359313965
160.799,25.902563095092773,26.18207359313965
160.9,25.902563095092773,26.18207359313965
161,25.902563095092773,26.182071685791016
161.102,25.90256118774414,26.182071685791016
161.2,25.90256118774414,26.182071685791016
161.3,25.90256118774414,26.182069778442383
161.401,25.90256118774414,26.182069778442383
161.494,25.902559280395508,26.182069778442383
161.6,25.902559280395508,26.182069778442383
161.7,25.902559280395508,26.18206787109375
161.801,25.902559280395508,26.18206787109375
161.9,25.902557373046875,26.18206787109375
162,25.902557373046875,26.18206787109375
162.102,25.902557373046875,26.182065963745117
162.2,25.902557373046875,26.182065963745117
162.301,25.902557373046875,26.182065963745117
162.4,25.902555465698242,26.182064056396484
162.501,25.902555465698242,26.182064056396484
162.601,25.902555465698242,26.182064056396484
